Question,label
"This question has two parts. 
A shopper bought peppers and grapes. 
Part A 
The shopper bought $$ \frac{54}{100} $$ pound of peppers. 
What is the decimal equivalent of the fraction $$ \frac{54}{100} $$ ? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2021_grade4_q16_img_1.png 
Part B 
The shopper bought 0.62 pound of grapes. 
Which of these number lines shows a point that represents where 0.62 is located? 
 A y2021_grade4_q16_img_1.png 
 B y2021_grade4_q16_img_2.png 
 C y2021_grade4_q16_img_3.png 
 D y2021_grade4_q16_img_4.png 

",1
"Which of these sentences are correct? 
Select the three correct answers. 
 A The number 142,839 rounded to the nearest thousand is 142,000. 
 B The number 142,839 rounded to the nearest thousand is 143,000. 
 C The number 142,839 rounded to the nearest ten thousand is 140,000. 
 D The number 142,839 rounded to the nearest ten thousand is 150,000. 
 E The number 142,839 rounded to the nearest hundred thousand is 100,000. 
 F The number 142,839 rounded to the nearest hundred thousand is 200,000. 

",1
"This graph represents the number of copies a copy machine can make in different numbers of minutes. 
Copies per Minute y2022_grade6_q12_img_1.png 
Based on the graph, which of the following is closest to the total number of copies the machine can make in 5 minutes? 
 A 125 
 B 150 
 C 175 
 D 200 

",3
"A student has $10. She will save $5 each week. The student wrote the expression shown to represent the amount of money she will have after w weeks. 
$$ 5w + 10 $$ 
Which of the following expressions is equivalent to the student’s expression for any value of w? 
 A $$ 15w $$ 
 B $$ 50w $$ 
 C $$ 5 \left( w + 2 \right) $$ 
 D $$ 5 \left( w + 10 \right) $$ 

",3
"Ms. Shaw has a quilt that is in the shape of a rectangle. The quilt is 7 feet long and 6 feet wide, as shown below. 
y2015_grade3_q3_img_1.png 
a. [{'element_id': 'a_1', 'element_type': 'text-plain', 'element_value': 'What is the perimeter, in feet, of Ms. Shaw’s quilt? Show or explain how you got your answer.'}, {'element_id': 'a_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Perimeter:<<red_line>>feet'}] 
Ms. Garcia also has a quilt in the shape of a rectangle. Ms. Garcia’s quilt has the same perimeter as Ms. Shaw’s quilt but has a different area. 
b. [{'element_id': 'b_1', 'element_type': 'text-plain', 'element_value': 'What could be the length and the width, in feet, of Ms. Garcia’s quilt? Show or explain how you got your answer.'}, {'element_id': 'b_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Length:<<red_line>>feet'}, {'element_id': 'b_3', 'element_type': 'text-answer_with_red_line', 'element_value': 'Width:<<red_line>>feet'}] 
",0
"Amanda bought 4 bags of potatoes at a market. Each bag of potatoes weighed 5.75 pounds. 
Which of the following expressions can be used to find the total weight, in pounds, of the bags of potatoes Amanda bought? 
 A $$ \left( 4 \times 5 \right) + \left( 0.7 + 0.05 \right) $$ 
 B $$ \left( 4 \times 5 \right) + \left( 4 \times 7 \right) + \left( 4 \times 0.5 \right) $$ 
 C $$ \left( 4 \times 50 \right) + \left( 4 \times 7 \right) + \left( 4 \times 0.5 \right) $$ 
 D $$ \left( 4 \times 5 \right) + \left( 4 \times 0.7 \right) + \left( 4 \times 0.05 \left) $$ 

",2
"The ordered pair (4, 7) gives the location of a point on the coordinate plane. What is the first step to take in locating the point? 
 A Starting at the origin, move 4 units to the right. 
 B Starting at the origin, move 4 units to the left. 
 C Starting at the origin, move 4 units up. 
 D Starting at the origin, move 4 units down. 

",2
"This question has two parts. 
A teacher has two sets of stickers in different shapes to give to students. 
Part A 
The first set has five stickers. 
Which of these stickers appear to have at least one obtuse angle? 
Select the two correct answers. 
 A y2019_grade4_q9_img_1.png 
 B y2019_grade4_q9_img_2.png 
 C y2019_grade4_q9_img_3.png 
 D y2019_grade4_q9_img_4.png 
 E y2019_grade4_q9_img_5.png 

Part B 
The second set has three triangle stickers, as shown. 
y2019_grade4_q9_img_6.png 
y2019_grade4_q9_img_7.png 
y2019_grade4_q9_img_8.png 
TWhich of these sentences correctly describes one of the stickers? 
 A The ""Yay!"" sticker appears to be a right triangle because it has three right angles. 
 B The ""Great!"" sticker appears to be a right triangle because it has one right angle. 
 C The ""Hooray!"" sticker appears to be a right triangle because it has two right angles. 
 D The ""Hooray!"" sticker appears to be a right triangle because it has one right angle. 

",1
"Find the quotient. 
$$ 7.5 \div 10^2 $$ 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2019_grade5_q7_img_1.png 
",2
"Which of the following shapes has exactly two lines of symmetry? 
 A y2016_grade4_q6_img_1.png 
 B y2016_grade4_q6_img_2.png 
 C y2016_grade4_q6_img_3.png 
 D y2016_grade4_q6_img_4.png 

",1
"Luke recorded the number of days it rained each month for 12 months. He made a box plot to represent the data, as shown below. 
Number of Days of Rain Per Month y2016_grade6_q17_img_1.png 
What is the interquartile range of the data in Luke’s box plot? 
 A 11 
 B 9 
 C 8 
 D 5 

",3
"Which of the following equations is true? 
 A $$ 8 = 2^3 $$ 
 B $$ 9^2 = 18 $$ 
 C $$ 12 = 6^2 $$ 
 D $$ 7^3 = 21 $$ 

",3
"The value of the 5 in 40.52 is how many times the value of the 5 in 115.78? 
 A $$ \frac{1}{10} $$ 
 B $$ \frac{1}{100} $$ 
 C 10 
 D 100 

",2
"A group of middle school students went to an aquarium for a class trip. Afterward, the principal asked them several questions about their trip to the aquarium. 
Which of the following questions that the principal asked are statistical questions? 
Select the two statistical questions. 
 A Did the aquarium have a gift shop? 
 B Did the aquarium have an elevator? 
 C Is the aquarium open on Tuesdays? 
 D Would you like to visit this aquarium again? 
 E What was your favorite exhibit at the aquarium? 

",3
"A teacher has 8 sheets of stickers for decorating posters. 
 2_1 Each sheet has 10 stickers. 
 2_2 Each poster will have exactly 3 stickers. 

What is the greatest number of posters the teacher can decorate? 
 A 25 posters 
 B 26 posters 
 C 27 posters 
 D 28 posters 

",1
"Which of the following figures has a volume greater than 15 cubic centimeters? 
y2023_grade5_q18_img_1.png 
 A y2023_grade5_q18_img_2.png 
 B y2023_grade5_q18_img_3.png 
 C y2023_grade5_q18_img_4.png 
 D y2023_grade5_q18_img_5.png 

",2
